Issue Type,Issue key,Original estimate (hours),Time Spent on Dev,Time Spent on Rework,Time Spent on Testing,Dev,Date ticket started,Deployed,Cycle Time
Task,XY-1221,16.0,27.3,0.0,5.0,AC,"Aug 25, 2021","Sep 13, 2021",14
Task,XY-1239,2.0,5.3,0.0,1.0,RP,"Jul 12, 2021","Aug 12, 2021",24
Task,XY-1270,2.0,2.0,0.0,1.0,SM,"Sep 7, 2021","Sep 13, 2021",5
Task,XY-1446,4.0,6.7,0.0,1.2,SM,"Aug 5, 2021","Aug 24, 2021",14
Task,XY-1447,4.0,7.0,0.0,1.0,SM,"Aug 6, 2021","Sep 13, 2021",27
Task,XY-1448,12.0,12.1,0.0,5.0,SM,"Aug 13, 2021","Sep 13, 2021",22
Task,XY-1456,8.0,8.4,6.4,12.1,SM,"Jul 9, 2021","Aug 24, 2021",33
Task,XY-1458,12.0,13.6,0.0,2.0,SM,"Jul 15, 2021","Aug 12, 2021",21
Task,XY-1460,12.0,12.2,0.7,5.3,SM,"Jul 16, 2021","Aug 24, 2021",28
Bug,XY-1272,0.0,5.9,0.0,2.0,SS,"Sep 5, 2021","Sep 13, 2021",6
Task,XY-1283,16.0,68.5,0.0,5.0,IC,"Jun 21, 2021","Aug 12, 2021",39
Bug,XY-1374,0.0,2.3,0.0,1.5,SS,"Aug 20, 2021","Aug 24, 2021",3
Task,XY-1416,16.0,20.6,0.9,5.0,IC,"Jun 24, 2021","Sep 13, 2021",58
Task,XY-2275,8.0,7.4,6.0,6.0,AC,"Oct 15, 2021","Oct 21, 2021",5
Bug,XY-2252,0.0,8.5,1.0,1.5,RP,"Oct 10, 2021","Oct 21, 2021",9
Task,XY-1715,2.0,2.3,0.0,8.0,IC,"Jul 30, 2021","Aug 24, 2021",18
Story,XY-2162,2.0,3.0,0.0,1.0,IC,"Sep 28, 2021","Oct 4, 2021",6
Task,XY-1492,1.0,2.7,3.8,0.5,SS,"Jul 13, 2021","Aug 24, 2021",31
Task,XY-1535,1.0,1.0,0.0,0.5,IC,"Jul 13, 2021","Sep 13, 2021",45
Bug,XY-1555,0.0,0.5,0.0,0.0,IC,"Aug 11, 2021","Aug 12, 2021",2
Task,XY-1573,0.5,3.8,0.0,0.5,SS,"Jul 23, 2021","Aug 12, 2021",15
Story,XY-1581,12.0,18.6,1.3,4.3,AC,"Aug 11, 2021","Sep 13, 2021",33
Story,XY-1582,16.0,22.8,0.0,7.0,AC,"Aug 13, 2021","Sep 13, 2021",31
Story,XY-1679,16.0,28.8,5.0,8.3,RP,"Aug 13, 2021","Sep 13, 2021",31
Story,XY-1725,8.0,12.8,0.0,2.3,RP,"Aug 19, 2021","Sep 13, 2021",25
Task,XY-1590,16.0,18.7,8.0,5.0,AC,"Aug 19, 2021","Sep 13, 2021",18
Story,XY-1577,12.0,25.3,5.0,3.0,AC,"Aug 20, 2021","Sep 13, 2021",24
Story,XY-1580,12.0,17.5,4.8,5.0,RP,"Aug 24, 2021","Sep 13, 2021",20
Story,XY-1583,20.0,27.5,0.7,5.8,RP,"Aug 11, 2021","Sep 13, 2021",33
Task,XY-1929,4.0,13.2,8.0,1.0,SS,"Sep 13, 2021","Sep 30, 2021",14
Bug,XY-2066,0.0,0.7,0.0,0.0,AC,"Sep 29, 2021","Sep 30, 2021",2
Story,XY-1859,8.0,9.8,1.5,4.7,AC,"Sep 1, 2021","Sep 30, 2021",29
Task,XY-2007,4.0,4.7,0.0,1.5,RP,"Sep 20, 2021","Sep 30, 2021",9
Task,XY-2088,1.0,0.7,0.0,0.5,RP,"Sep 28, 2021","Sep 30, 2021",3
Story,XY-1585,12.0,24.5,1.7,2.0,AC,"Sep 9, 2021","Sep 30, 2021",21
Task,XY-1595,2.0,2.5,0.0,1.0,IC,"Jul 22, 2021","Aug 12, 2021",16
Task,XY-1606,1.0,1.3,0.0,0.5,SM,"Jul 23, 2021","Aug 12, 2021",15
Task,XY-1608,1.0,7.3,0.0,0.5,AC,"Jul 28, 2021","Aug 24, 2021",20
Task,XY-1610,0.5,0.8,0.0,0.5,AC,"Jul 29, 2021","Sep 13, 2021",33
Task,XY-1632,8.0,30.9,0.0,4.5,AC,"Jul 30, 2021","Sep 13, 2021",32
Task,XY-1635,8.0,15.2,0.0,4.5,IC,"Aug 3, 2021","Sep 13, 2021",30
Task,XY-1710,8.0,17.8,0.0,4.5,RP,"Aug 6, 2021","Aug 24, 2021",13
Task,XY-1636,0.5,2.3,0.0,0.5,SM,"Aug 4, 2021","Aug 24, 2021",15
Task,XY-1643,1.0,0.6,0.0,0.5,IC,"Jul 24, 2021","Aug 12, 2021",14
Bug,XY-1645,0.0,4.8,0.0,0.0,SS,"Aug 19, 2021","Aug 24, 2021",4
Task,XY-1648,1.0,1.2,0.0,0.5,IC,"Jul 26, 2021","Aug 12, 2021",14
Task,XY-1649,1.0,1.8,0.0,0.5,IC,"Jul 27, 2021","Aug 12, 2021",13
Bug,XY-1650,0.0,4.9,2.0,0.0,AC,"Sep 6, 2021","Sep 13, 2021",6
Task,XY-1670,1.0,2.0,0.0,0.5,AC,"Aug 5, 2021","Aug 24, 2021",14
Story,XY-1774,16.0,21.8,3.0,5.0,RP,"Aug 31, 2021","Sep 13, 2021",13
Bug,XY-2070,0.0,0.8,0.0,0.0,SS,"Sep 29, 2021","Sep 30, 2021",2
Task,XY-2023,8.0,5.8,0.0,4.5,RP,"Sep 20, 2021","Sep 30, 2021",9
Bug,XY-2074,0.0,0.3,0.0,0.0,AC,"Sep 29, 2021","Sep 30, 2021",2
Story,XY-2027,8.0,6.4,0.0,1.5,AC,"Sep 21, 2021","Sep 30, 2021",9
Story,XY-1671,8.0,27.9,3.8,5.3,RP,"Sep 1, 2021","Sep 30, 2021",29
Bug,XY-2073,0.0,0.3,0.0,0.0,RP,"Sep 29, 2021","Sep 30, 2021",2
Bug,XY-2077,0.0,2.5,0.0,0.0,AC,"Sep 27, 2021","Sep 30, 2021",4
Bug,XY-2080,0.0,2.5,0.0,0.5,AC,"Sep 27, 2021","Sep 30, 2021",4
Bug,XY-2037,4.0,2.8,0.0,0.5,RP,"Sep 26, 2021","Sep 30, 2021",4
Task,XY-2031,4.0,3.9,0.0,0.5,RP,"Sep 21, 2021","Sep 30, 2021",8
Task,XY-1823,3.0,3.1,0.0,1.0,AC,"Aug 19, 2021","Sep 13, 2021",18
Task,XY-1693,1.0,0.8,0.0,0.5,IC,"Jul 28, 2021","Aug 12, 2021",12
Bug,XY-1709,0.0,1.9,0.0,0.0,AC,"Aug 4, 2021","Aug 6, 2021",3
Story,XY-1719,1.0,2.0,0.0,0.5,AC,"Aug 2, 2021","Aug 24, 2021",22
Task,XY-1720,1.0,3.2,0.0,0.8,RP,"Aug 4, 2021","Aug 24, 2021",15
Task,XY-1721,1.0,1.5,0.0,0.5,RP,"Aug 5, 2021","Aug 24, 2021",14
Task,XY-1722,3.0,2.6,0.0,2.5,IC,"Jul 31, 2021","Aug 24, 2021",17
Bug,XY-1727,0.0,8.5,0.0,0.0,SS,"Aug 15, 2021","Aug 24, 2021",7
Task,XY-1730,4.0,4.2,0.0,0.8,SS,"Aug 9, 2021","Aug 24, 2021",12
Bug,XY-1736,0.0,5.3,0.0,0.0,SS,"Aug 18, 2021","Aug 24, 2021",5
Bug,XY-1748,0.0,1.5,0.0,3.7,SM,"Aug 18, 2021","Aug 24, 2021",5
Story,XY-1753,4.0,4.2,0.0,1.0,SM,"Aug 18, 2021","Sep 13, 2021",26
Story,XY-1755,8.0,7.5,3.8,4.7,SM,"Aug 20, 2021","Sep 13, 2021",24
Task,XY-2008,6.0,6.6,0.0,4.5,SM,"Sep 17, 2021","Sep 30, 2021",10
Story,XY-1899,8.0,2.4,0.0,4.5,SM,"Sep 2, 2021","Sep 30, 2021",28
Story,XY-1758,8.0,3.2,0.0,2.8,SM,"Aug 25, 2021","Sep 13, 2021",19
Bug,XY-1759,0.0,4.9,0.0,0.0,AC,"Aug 19, 2021","Aug 24, 2021",4
Task,XY-1771,2.0,2.0,0.0,1.0,IC,"Sep 9, 2021","Sep 30, 2021",16
Bug,XY-1777,0.0,8.3,0.0,0.0,RP,"Aug 15, 2021","Aug 24, 2021",7
Task,XY-1778,2.0,2.8,1.0,1.0,SS,"Aug 16, 2021","Aug 24, 2021",7
Task,XY-1805,2.0,1.4,0.0,1.0,RP,"Aug 17, 2021","Aug 24, 2021",6
Bug,XY-1807,0.0,1.1,0.0,0.0,IC,"Sep 11, 2021","Sep 13, 2021",1
Story,XY-1812,12.0,3.0,0.9,3.7,SM,"Aug 26, 2021","Sep 13, 2021",18
Task,XY-1816,4.0,8.0,0.0,1.0,IC,"Sep 1, 2021","Sep 13, 2021",9
Bug,XY-1825,0.0,1.0,0.0,0.5,SS,"Sep 11, 2021","Sep 13, 2021",1
Task,XY-1849,2.0,2.0,0.0,1.0,IC,"Aug 24, 2021","Sep 13, 2021",15
Task,XY-1850,2.0,1.2,0.0,1.0,SM,"Aug 24, 2021","Sep 13, 2021",15
Bug,XY-1855,0.0,1.0,0.0,0.0,SS,"Aug 23, 2021","Aug 24, 2021",2
Bug,XY-1861,0.0,1.5,0.0,0.3,RP,"Aug 23, 2021","Aug 25, 2021",3
Bug,XY-1862,0.0,1.4,0.0,0.3,RP,"Sep 1, 2021","Sep 3, 2021",3
Task,XY-1864,1.0,1.0,0.0,0.5,SS,"Aug 25, 2021","Sep 13, 2021",14
Task,XY-1879,1.0,1.0,0.0,0.5,IC,"Sep 8, 2021","Sep 13, 2021",4
Task,XY-1889,2.0,2.0,0.0,1.0,IC,"Sep 8, 2021","Sep 13, 2021",4
Task,XY-1890,1.0,0.8,0.0,0.5,IC,"Aug 29, 2021","Sep 13, 2021",11
Task,XY-1898,2.0,1.5,0.0,1.0,IC,"Sep 2, 2021","Sep 14, 2021",9
Bug,XY-2111,0.0,1.0,0.0,1.0,AC,"Sep 25, 2021","Sep 27, 2021",1
Bug,XY-1915,0.0,2.3,0.0,0.0,AC,"Sep 10, 2021","Sep 13, 2021",2
Task,XY-1926,4.0,4.0,0.0,1.0,RP,"Sep 3, 2021","Sep 13, 2021",7
Task,XY-1935,2.0,2.5,0.0,1.0,SS,"Sep 3, 2021","Sep 3, 2021",1
Bug,XY-1938,0.0,0.5,0.0,0.0,SS,"Sep 2, 2021","Sep 3, 2021",2
Task,XY-1939,1.0,1.0,0.0,0.5,IC,"Sep 4, 2021","Sep 13, 2021",6
Bug,XY-1947,0.0,2.0,0.0,0.0,SM,"Sep 5, 2021","Sep 7, 2021",2
Bug,XY-1948,0.0,4.0,10.7,11.5,SM,"Aug 13, 2021","Sep 9, 2021",20
Bug,XY-1949,0.0,0.5,0.0,0.0,RP,"Sep 12, 2021","Sep 13, 2021",1
Bug,XY-2125,0.0,2.5,0.0,0.0,SM,"Sep 26, 2021","Sep 29, 2021",3
Bug,XY-2131,0.0,1.9,0.0,0.0,SM,"Sep 27, 2021","Sep 29, 2021",3
Bug,XY-2082,0.0,2.9,0.0,0.0,SM,"Sep 27, 2021","Sep 30, 2021",4
Bug,XY-2127,0.0,2.1,0.0,1.5,AC,"Sep 26, 2021","Sep 30, 2021",4
Task,XY-2121,1.0,1.5,0.0,0.5,SM,"Sep 28, 2021","Sep 30, 2021",3
Task,XY-2122,1.0,1.3,0.0,0.5,SM,"Sep 28, 2021","Oct 4, 2021",5
Task,XY-1954,6.0,6.4,0.0,4.5,SM,"Sep 10, 2021","Sep 30, 2021",15
Task,XY-2157,1.0,1.0,0.0,2.0,SM,"Oct 1, 2021","Oct 4, 2021",2
Bug,XY-2123,0.0,1.8,0.0,1.3,SM,"Oct 4, 2021","Oct 7, 2021",4
Task,XY-2287,6.0,6.8,0.0,2.0,SM,"Oct 15, 2021","Oct 26, 2021",8
Bug,XY-2124,0.0,12.3,5.2,0.0,SM,"Oct 11, 2021","Oct 29, 2021",15
Bug,XY-2247,0.0,1.6,0.0,1.0,SM,"Oct 26, 2021","Oct 29, 2021",4
Bug,XY-2372,0.0,2.2,0.0,2.5,SM,"Oct 24, 2021","Oct 29, 2021",5
Bug,XY-2282,0.0,5.0,0.0,1.5,SM,"Aug 4, 2021","Aug 11, 2021",6
Bug,XY-2285,0.0,4.0,0.0,2.4,SM,"Oct 22, 2021","Oct 29, 2021",6
Bug,XY-2289,0.0,2.6,0.0,0.0,SM,"Oct 11, 2021","Oct 14, 2021",4
Bug,XY-2292,0.0,4.0,0.0,1.5,SM,"Oct 12, 2021","Oct 18, 2021",5
Task,XY-1962,1.0,1.1,0.0,0.5,SM,"Sep 13, 2021","Sep 14, 2021",2
Task,XY-1963,1.0,1.2,0.0,0.5,SM,"Sep 13, 2021","Sep 14, 2021",2
Task,XY-1964,1.0,0.9,0.0,0.5,SM,"Sep 13, 2021","Sep 14, 2021",2
Task,XY-1966,4.0,3.8,0.0,1.0,SM,"Sep 13, 2021","Sep 29, 2021",13
Task,XY-1967,1.0,1.1,0.0,0.5,SM,"Sep 13, 2021","Sep 29, 2021",13
Task,XY-1968,1.0,1.8,0.0,0.5,SM,"Sep 13, 2021","Sep 29, 2021",13
Bug,XY-1952,0.0,1.0,0.0,0.0,RP,"Sep 12, 2021","Sep 13, 2021",1
Bug,XY-1990,0.0,1.3,0.0,0.5,RP,"Sep 28, 2021","Sep 30, 2021",3
Bug,XY-1988,0.0,2.3,0.0,0.0,AC,"Sep 27, 2021","Sep 30, 2021",4
Bug,XY-1984,0.0,3.0,0.0,0.0,AC,"Sep 27, 2021","Sep 30, 2021",4
Task,XY-1985,2.0,2.0,0.0,1.0,IC,"Sep 10, 2021","Sep 30, 2021",15
Story,XY-1986,6.0,5.4,0.0,4.5,SM,"Sep 12, 2021","Sep 30, 2021",18
Bug,XY-2000,0.0,9.0,0.0,0.0,AC,"Sep 20, 2021","Sep 30, 2021",9
Story,XY-1587,12.0,41.5,0.0,5.0,RP,"Aug 2, 2021","Sep 30, 2021",59
Bug,XY-2013,0.0,0.1,0.0,0.8,AC,"Sep 29, 2021","Sep 30, 2021",2
Story,XY-1578,16.0,35.2,0.0,5.0,RP,"Sep 2, 2021","Sep 30, 2021",28
Story,XY-1586,12.0,12.8,0.7,5.0,AC,"Sep 8, 2021","Sep 30, 2021",22
Story,XY-1579,12.0,20.4,9.3,7.8,AC,"Sep 7, 2021","Sep 30, 2021",23
Story,XY-1584,12.0,20.3,0.0,3.0,AC,"Sep 7, 2021","Sep 30, 2021",23
Task,XY-2148,3.0,3.0,0.0,1.5,RP,"Sep 30, 2021","Oct 4, 2021",3
Task,XY-2087,2.0,3.4,0.0,1.0,RP,"Sep 30, 2021","Oct 4, 2021",3
Task,XY-2158,2.0,2.3,0.0,2.7,AC,"Oct 1, 2021","Oct 5, 2021",3
Task,XY-2194,8.0,8.3,2.0,15.0,SS,"Oct 6, 2021","Oct 7, 2021",2
Bug,XY-2167,0.0,3.0,0.0,8.5,RP,"Oct 9, 2021","Oct 21, 2021",9
Task,XY-2203,1.5,4.0,0.0,1.0,RP,"Oct 11, 2021","Oct 21, 2021",9
Task,XY-1995,1.0,0.5,0.0,0.5,IC,"Sep 14, 2021","Sep 30, 2021",13
Bug,XY-2001,0.0,3.3,0.0,0.0,SM,"Sep 12, 2021","Sep 16, 2021",4
Task,XY-2002,2.0,1.8,0.0,1.0,IC,"Sep 15, 2021","Sep 30, 2021",12
Task,XY-2003,2.0,1.5,0.0,1.0,IC,"Sep 15, 2021","Sep 30, 2021",12
Task,XY-2009,1.0,0.8,0.0,0.5,SS,"Sep 15, 2021","Sep 16, 2021",2
Task,XY-2036,3.0,1.1,0.5,2.0,SS,"Oct 21, 2021","Oct 27, 2021",5
Bug,XY-2332,0.0,5.8,0.0,1.5,RP,"Oct 24, 2021","Nov 1, 2021",6
Task,XY-2346,4.0,4.4,0.0,3.8,RP,"Oct 25, 2021","Nov 1, 2021",6
Task,XY-2321,3.0,8.9,2.5,1.0,SS,"Oct 21, 2021","Oct 27, 2021",5
Bug,XY-2358,0.0,0.5,0.0,0.3,SM,"Oct 31, 2021","Nov 1, 2021",1
Bug,XY-2357,0.0,0.5,0.0,0.4,SM,"Oct 31, 2021","Nov 1, 2021",1
Task,XY-2392,2.0,3.3,0.0,5.0,RP,"Oct 29, 2021","Nov 8, 2021",7
Story,XY-2273,4.0,6.3,0.0,1.5,AC,"Oct 23, 2021","Nov 8, 2021",16
Story,XY-1779,16.0,46.9,0.0,7.5,AC,"Sep 24, 2021","Nov 15, 2021",52
Story,XY-2274,8.0,7.2,0.0,2.0,AC,"Oct 25, 2021","Nov 8, 2021",14
Bug,XY-2458,0.0,4.0,0.0,2.0,AC,"Aug 5, 2021","Aug 11, 2021",5
Bug,XY-2385,0.0,8.0,0.0,7.0,AC,"Oct 31, 2021","Nov 15, 2021",11
Bug,XY-2026,0.0,1.5,0.0,0.0,IC,"Sep 15, 2021","Sep 17, 2021",3
Task,XY-2028,6.0,7.3,0.0,4.5,RP,"Sep 17, 2021","Sep 20, 2021",2
Bug,XY-2032,0.0,2.1,0.0,0.0,SM,"Sep 13, 2021","Sep 16, 2021",4
Bug,XY-2033,0.0,0.4,0.0,4.0,IC,"Sep 12, 2021","Sep 17, 2021",5
Bug,XY-2047,0.0,2.7,0.0,0.0,IC,"Sep 27, 2021","Sep 30, 2021",4
Bug,XY-2069,0.0,4.8,0.0,0.0,IC,"Sep 19, 2021","Sep 24, 2021",5
Story,XY-2100,1.0,1.3,0.0,0.5,IC,"Sep 25, 2021","Sep 30, 2021",5
Bug,XY-2101,0.0,3.0,0.0,3.0,SM,"Sep 27, 2021","Sep 27, 2021",1
Bug,XY-2102,0.0,6.9,0.0,11.5,SM,"Sep 27, 2021","Sep 27, 2021",1
Bug,XY-2246,0.0,2.8,0.0,0.5,SM,"Oct 11, 2021","Nov 10, 2021",23
Bug,XY-2112,0.0,3.0,0.0,4.5,SM,"Sep 29, 2021","Oct 21, 2021",17
Task,XY-2130,9.0,2.3,0.0,9.8,SM,"Sep 30, 2021","Oct 21, 2021",16
Task,XY-2143,2.0,2.0,0.0,0.3,SS,"Sep 30, 2021","Oct 4, 2021",3
Story,XY-2242,4.0,8.0,1.0,7.0,AC,"Oct 11, 2021","Oct 12, 2021",1
Bug,XY-2231,0.0,2.9,0.0,1.5,SM,"Oct 8, 2021","Oct 8, 2021",1
Task,XY-2232,1.0,1.3,0.0,1.0,SM,"Oct 8, 2021","Oct 8, 2021",1
Task,XY-2233,4.0,22.5,0.0,1.0,SS,"Oct 13, 2021","Oct 28, 2021",12
Task,XY-2238,4.0,3.5,0.0,1.0,SS,"Oct 26, 2021","Oct 28, 2021",3
Task,XY-2333,1.0,0.8,0.0,0.5,SS,"Oct 25, 2021","Oct 28, 2021",4
Bug,XY-2336,0.0,2.5,0.0,0.0,SM,"Oct 22, 2021","Oct 29, 2021",6
Bug,XY-2591,0.0,3.0,6.1,3.0,AC,"Nov 25, 2021","Nov 26, 2021",2
Bug,XY-2560,0.0,2.0,0.0,3.0,IC,"Nov 22, 2021","Nov 24, 2021",3
Bug,XY-2520,0.0,5.8,0.0,1.0,AC,"Nov 17, 2021","Nov 18, 2021",2
Bug,XY-2491,0.0,0.6,0.0,0.8,SM,"Nov 12, 2021","Nov 17, 2021",4
Bug,XY-2458,0.0,4.0,0.0,2.0,AC,"Nov 8, 2021","Nov 9, 2021",2
Bug,XY-2446,0.0,0.2,0.0,1.0,RP,"Nov 9, 2021","Nov 17, 2021",7
Task,XY-2440,2.0,2.0,0.0,1.0,SS,"Nov 5, 2021","Nov 8, 2021",2
Bug,XY-2431,0.0,4.0,0.0,2.0,SS,"Nov 3,2021","Nov 8, 2021",4
Bug,XY-2430,0.0,3.0,0.0,1.5,AC,"Nov 5, 2021","Nov 17, 2021",9
Bug,XY-2421,0.0,6.4,5.0,11.3,AC,"Nov 2,2021","Nov 17, 2021",12
Task,XY-2419,2.0,3.5,0.0,2.0,SS,"Nov 2, 2021","Nov 2, 2021",1
Bug,XY-2412,0.0,3.5,0.0,1.5,SM,"Nov 3, 2021","Nov 17, 2021",11
Task,XY-2398,3.0,5.5,0.0,1.5,AC,"Nov 2, 2021","Nov 8, 2021",5
Task,XY-2395,4.0,3.1,0.0,2.0,RP,"Nov 1, 2021","Nov 8, 2021",6
Bug,XY-2394,0.0,1.0,0.0,0.5,SS,"Nov 9, 2021","Nov 17, 2021",7
Task,XY-2392,2.0,3.3,0.0,5.0,RP,"Oct 29, 2021","Nov 9, 2021",8
Bug,XY-2385,0.0,9.0,0.0,8.0,AC,"Nov 5, 2021","Nov 17, 2021",9
Bug,XY-2382,0.0,4.5,0.0,2.0,SS,"Oct 29, 2021","Nov 11, 2021",10
Bug,XY-2370,0.0,7.3,0.0,3.0,AC,"Oct 29, 2021","Nov 2, 2021",3
Task,XY-2369,2.0,2.3,0.0,1.0,SM,"Oct 27, 2021","Nov 8, 2021",9
Bug,XY-2366,0.0,3.3,0.0,0.5,AC,"Oct 29, 2021","Nov 11, 2021",10
Bug,XY-2358,0.0,0.6,0.0,0.3,SM,"Oct 27, 2021","Nov 11, 2021",12
Bug,XY-2357,0.0,0.6,0.0,0.5,SM,"Oct 27, 2021","Nov 11, 2021",12
Task,XY-2354,2.0,3.1,0.0,1.0,IC,"Oct 26, 2021","Nov 11, 2021",13
Task,XY-2352,4.0,6.0,0.0,2.0,RP,"Oct 28, 2021","Nov 11, 2021",11
Story,XY-2351,4.0,4.8,3.0,1.5,RP,"Oct 26, 2021","Nov 11, 2021",13
Task,XY-2346,4.0,4.4,0.0,3.5,RP,"Oct 25, 2021","Nov 11, 2021",14
Bug,XY-2332,0.0,5.8,0.0,2.0,RP,"Oct 21, 2021","Nov 11, 2021",16
Bug,XY-2323,0.0,6.0,1.5,1.5,AC,"Oct 20, 2021","Nov 11, 2021",17
Task,XY-2320,2.0,4.5,0.0,1.5,SS,"Nov 1, 2021","Nov 8, 2021",6
Story,XY-2316,4.0,3.0,0.0,1.8,RP,"Nov 1, 2021","Nov 8, 2021",6
Bug,XY-2309,0.0,0.8,0.0,1.0,SM,"Nov 8, 2021","Nov 17, 2021",8
Bug,XY-2283,0.0,2.7,1.7,1.5,SM,"Nov 1, 2021","Nov 17, 2021",13
Bug,XY-2282,0.0,4.9,0.0,1.5,SM,"Oct 28, 2021","Nov 8, 2021",8
Story,XY-2274,8.0,4.2,0.0,2.0,AC,"Oct 25, 2021","Nov 8, 2021",11
Story,XY-2273,4.0,4.3,0.0,2.0,AC,"Oct 22, 2021","Nov 8, 2021",12
Task,XY-2269,4.0,2.5,0.0,1.0,RP,"Oct 22, 2021","Nov 11, 2021",15
Task,XY-2254,2.0,4.4,0.0,1.0,RP,"Oct 15, 2021","Nov 11, 2021",20
Task,XY-2239,4.0,6.9,0.0,2.5,SM,"Oct 21, 2021","Nov 8, 2021",13
Bug,XY-2230,0.0,9.2,0.0,1.5,AC,"Oct 13, 2021","Nov 11, 2021",22
Bug,XY-2210,0.0,5.0,0.0,1.0,AC,"Oct 26, 2021","Nov 17, 2021",17
Task,XY-2204,2.0,3.7,0.0,2.0,RP,"Oct 15, 2021","Nov 11, 2021",20
Task,XY-2199,8.0,17.9,1.8,3.8,RP,"Oct 6, 2021","Nov 11, 2021",27
Task,XY-2197,8.0,15.9,0.0,1.0,AC,"Oct 12, 2021","Nov 11, 2021",23
Story,XY-2154,4.0,4.3,3.3,4.0,RP,"Oct 4, 2021","Nov 11, 2021",29
Story,XY-2025,12.0,5.9,13.0,6.8,RP,"Oct 5, 2021","Nov 8, 2021",25
Task,XY-1873,2.0,5.5,3.3,2.5,AC,"Sep 24, 2021","Nov 17, 2021",39
Task,XY-1863,2.0,3.0,0.0,1.0,SS,"Oct 28, 2021","Nov 17, 2021",15
Story,XY-1838,8.0,7.4,7.0,2.0,SM,"Oct 5, 2021","Nov 17, 2021",32
Story,XY-1779,16.0,46.9,5.3,7.5,AC,"Sep 24, 2021","Nov 17, 2021",39
Story,XY-1746,6.0,14.4,0.0,1.0,SS,"Oct 28, 2021","Nov 17, 2021",15
Task,XY-1350,2.0,3.9,0.0,1.0,RP,"Oct 28, 2021","Nov 11, 2021",11
