,time,comment
460,4:20 ,I don t speak taco
461,4:20 ,spitttin facts
462,4:23 ,The actual rover is landing at   pm est
463,4:23 ,this is boring
464,4:24 ,The Cruise is very excited
465,4:24 ,Hi from missouri
466,4:24 ,did i miss something why is it not english
467,4:25 ,Good luck Percy
468,4:26 ,very much excited
469,4:27 ,poggers in the chat
470,4:29 ,im voing to space
471,4:31 ,greetings from Croatia
472,4:32 ,How long
473,4:32 ,JAMES CHARLES
474,4:33 ,hi twitch
475,4:37 ,I DONT SPEAK TACO BELL
476,4:37 ,countdowntomars
477,4:37 ,countingtomars
478,4:37 ,how did poggers find its way into this chat
479,4:37 ,from india
480,4:38 ,yep Mark Rober sent me too
481,4:38 ,i m here because of mark rober
482,4:38 ,Countdowntomars
483,4:38 ,countdowntomars
484,4:38 ,thomas welches bundesland
485,4:41 ,countdowntomars
486,4:42 ,Happy Landing Perseverance
487,4:43 ,2030hrs UK time now
488,4:43 ,this will be epic
489,4:45 ,what is pog
490,4:46 ,wach it faill lol
491,4:46 ,countdown to mars
492,4:47 ,countdowntomars
493,4:47 ,hello from Canada
494,4:47 ,live long and prosper
495,4:47 ,wish I could speak spanish
496,4:48 ,it is
497,4:49 ,Can t wait
498,4:51 ,countdowntomars
499,4:51 ,hello from Turkey
500,4:53 ,Who else watchi this with ur class
501,4:54 ,yes don t crash
502,4:54 ,Bruh I ve never seen such a Karen
503,4:54 ,greeting from Iran
504,4:54 ,contdown
505,4:56 ,Mark Rober This is it
506,4:57 ,Countdowntomars
507,4:57 ,Good Evening from the UK it is really exciting Good Luck NASA and Everyone on the many Teams involved
508,4:58 ,space stufff
509,4:58 ,what countdown
510,4:58 ,countdowntomars
511,4:58 ,I CANT WAIT
512,4:58 ,LANA F JESI TU
513,4:58 ,SHOUT out to my boy Mark Robert
514,4:59 ,next generation hello
515,4:59 ,yesssss mark rober
516,4:59 ,cauntdownonmars
517,4:59 ,hey
518,4:59 ,What a Host
519,5:01 ,where mark rober
520,5:01 ,IM IN HISTORY
521,5:01 ,Hello guys from Greenland
522,5:01 ,YOU GUYS WILL THEY FIND ASHOKA TANO
523,5:02 ,y all ready to ser history being made
524,5:02 ,here because of mark
525,5:03 ,NASA Cant wait
526,5:03 ,ScRaMbLeS  of a million
527,5:03 ,ı wanna go there one day and ı wanna work for nasa ı hope ı can reach that dream
528,5:03 ,this gon be big poggers
529,5:03 ,poggers elbowcough elbowcough elbowcough elbowcough elbowcough elbowcough elbowcough
530,5:03 ,When is it landing
531,5:03 ,Countdowntomars
532,5:04 ,its cool
533,5:07 ,Mike is a really cool YouTuber
534,5:07 ,im going to sleep its  am
535,5:07 ,countdowntomars
536,5:08 ,Universe Entertainment was here
537,5:08 ,hello guys from Portugal
538,5:08 ,They look the same
539,5:09 ,There s a lot of people here What is this the Apple store
540,5:09 ,what time
541,5:10 ,YO LETS GO WE NEED IT TO LAND
542,5:12 ,can t imagine it s happening right now
543,5:12 ,where are the tripods
544,5:12 ,Who else got here from Mark Rober
545,5:13 ,Countdownmars PALMEIRAS NÃO TEM MUNDIAL
546,5:13 ,Bonsoir Thanks so much for broadcasting about this amazing project Good luck
547,5:13 ,greetings from Australia LETS DO THIS WOOOOOOOOO hoping for a safe landing
548,5:14 ,cool
549,5:14 ,COUNTDOWNTOMARS
550,5:16 ,HI EVERYBODY HOPE YOU HAVE AMAZING DAYS TODAY ENJOY THE COUNTDOWN
551,5:16 ,hello from Bosnia
552,5:17 ,Why in in an hour this aint pog
553,5:17 ,when will it land thoo
554,5:17 ,I WAS HERE
555,5:18 ,this is amazing
556,5:19 ,Cheering from Edmonton Canada
557,5:19 ,when will rover land
558,5:19 ,POV your in school
559,5:21 ,Let s go humanity You rock
560,5:22 ,Goodluck from PH
561,5:22 ,hey
562,5:23 ,it better not crash
563,5:23 ,earth is flat and mars doesnt exist
564,5:24 ,mars do is right
565,5:24 ,COVID precautions better not mess up with this landing
566,5:25 ,lots of love and crossed fingers from argentina
567,5:26 ,when s the landing
568,5:26 ,Mark Robber the goat
569,5:27 ,is it live
570,5:27 ,is the rover landing now or an hour from now
571,5:27 ,history
572,5:28 ,POGU WE GOING TO MARS
573,5:29 ,Greetings from Poland goodvibes
574,5:29 ,A stellar student is with me watching the broadcast
575,5:29 ,COUNTDOWNTOMARS
576,5:31 ,I cant wait
577,5:32 ,countdowntomars
578,5:32 ,thats me learning
579,5:32 ,Hellooo from Brazil
580,5:33 ,pogchamps i was here
581,5:33 ,The weeb was here
582,5:34 ,SHOW THE ROCKET
583,5:36 ,hah I m in online school right now ha
584,5:37 ,i was here
585,5:37 ,let s go Perserverance nail that landing
586,5:37 ,this is SOOO POG
587,5:39 ,Got my Mars donut
588,5:39 ,So exiting
589,5:41 ,The Last layers of Prince Daniel and Odette s wedding cake are landing on Mars Long live the perseverance rover and the ingenuity helicopter
590,5:42 ,Who else thinks Mars is pretty
591,5:42 ,washhands washhands washhands
592,5:44 ,Coco_chicken 
593,5:44 ,I was here
594,5:47 ,Top
595,5:47 ,good luck perseverance
596,5:47 ,Love from Japan
597,5:48 ,Is it just me on Mars right now
598,5:48 ,uh oh i really hope they set up mods
599,5:49 ,MARK ROBER THANK U
600,5:49 ,i was randomly playing on my VR headset and i see a notification on my phone saying that this is live
601,5:49 ,Chat is to fast slow down
602,5:50 ,What time
603,5:52 ,hello world
604,5:52 ,Who is here from mark rober
605,5:55 ,Earth is a dinosaur shape
606,5:56 ,I WAS HERE POGGERS
607,5:57 ,I WANT BORGER
608,5:57 ,I WAS HERE
609,5:57 ,I m watching this in school lol
610,5:57 ,So excited
611,5:57 ,dose any one know at what time it s actually landing
612,5:58 ,when dose it start
613,5:58 ,Greetings from elpaso tx
614,5:58 ,Thanks for joining our CountdownToMars Learn more about the mission here https mars nasa gov mars2020
615,5:58 ,how much longer
616,5:59 ,we will see photos from Mars landing
617,6:01 ,Hi this is from the swamp
618,6:02 ,HELLO FROM CANADA
619,6:02 ,Hi Swathi cutie
620,6:02 ,Im not happy to be here
621,6:03 ,Good luck NASA
622,6:03 ,Daviddd estoyyyyy activooooooooooo
623,6:03 ,imagine that it crash
624,6:03 ,did it already land
625,6:04 ,Mark Rober you here
626,6:07 ,Love from the Netherlands
627,6:07 ,dogecoin rocket
628,6:08 ,when is it landing
629,6:08 ,Mars isn t real
630,6:09 ,OMG I AM SO EXITED
631,6:11 ,May the spirit of Sagan was upon you all
632,6:12 ,The God of War looms large in Perseverance s view
633,6:12 ,Pog Champion
634,6:12 ,looking forward to the next landing on snickers
635,6:13 ,Good luck and have a safe landing on Mars good luck
636,6:13 ,Me o
637,6:13 ,scary scary scary
638,6:14 ,Baburaj what sapp group
639,6:14 ,Wow Nasa hit all the PC buttons
640,6:14 ,did it land alrady
641,6:16 ,CRIS ROSCA CF
642,6:16 ,So exciting
643,6:17 ,Its delayed
644,6:17 ,i was here
645,6:18 ,Sup fam
646,6:18 ,Hi from Mars
647,6:18 ,goodluck from INDIA
648,6:18 ,change the world my final message
649,6:19 ,Richard Smith watching with my  year old son
650,6:19 ,TO SPACE
651,6:20 ,rover speed to mars
652,6:21 ,very glad for the witness to this historical moment
653,6:21 ,hey from hungary
654,6:21 ,I set an alarm for this ahhhh
655,6:21 ,Hello from Dublin Ireland from Paul  and Stephen  We are very excited
656,6:25 ,we are almost there Can we have the entry interfacr time now or it is still a mistery
657,6:27 ,coming after  miles bye bye for now
658,6:27 ,Mark Rober thanks
659,6:27 ,Excited
660,6:27 ,What s up people Go Gators Please have the rocket launch be successful
661,6:30 ,yougotthis yougotthis yougotthis
662,6:31 ,Yo whats good crips
663,6:31 ,I have the LEGO Set
664,6:32 ,why every  minutes
665,6:32 ,HELLO FROM BRITAIN
666,6:32 ,pug champ
667,6:32 ,im so hyped
668,6:33 ,Houston We Do Not have a Problem
669,6:34 ,When is it actually landing
670,6:34 ,history is here
671,6:37 ,I m only watching this Bc of school
672,6:37 ,my sign here
673,6:37 ,i was here
674,6:43 ,Whose here for Aisr homework
675,6:43 ,COLOMBIAA
676,6:43 ,Why is the audio so low All my devices are turned all the way up
677,6:44 ,How long till Mars
678,6:44 ,Im soo exited
679,6:45 ,what was the
680,6:46 ,i been waiting a year to see this
681,6:47 ,when will it land
682,6:47 ,We are not the same ima Martian
683,6:47 ,When the imposter is sus
684,6:47 ,Hello from Italy
685,6:47 , message every  minutes WHAT
686,6:48 ,I want to go to space
687,6:48 ,Perseverance will begin its descent around   p m EST I guess
688,6:49 ,its a she
689,6:52 ,Can t understand anything through her mask
690,6:52 ,I Perseverance
691,6:53 ,Watching from Sweden
692,6:54 ,What is the ping
693,6:54 ,Say cactus Jack sent me
694,6:56 ,Salam be hame irani Hi to all from iranian ppl
695,6:57 ,waiting for the moment bravo
696,6:57 ,I AM HYPED
697,6:57 ,Hello Germany
698,6:57 ,This is gonna be so interesting
699,6:58 ,LETS MAKE HISTORY PERSEVERANCE THE WORLD IS WATCHING AT UUU
700,6:59 ,this thing finna land inshalla
701,7:00 ,Mark rober is the best
702,7:01 ,we are witnessing history baby
703,7:01 ,Invest in dogecoin
704,7:01 ,what time does this rover land
705,7:01 ,plss tell me when will be this land
706,7:02 ,hello from Poland
707,7:03 ,Please can you speak English
708,7:04 ,so excited
709,7:06 ,here from Mark rober
710,7:06 ,I was on Mars yesterdayl
711,7:07 ,No conspiracy theorists in the chat
712,7:08 ,FOR THE HORDE
713,7:08 ,Quicksave before landing
714,7:08 ,please talk english
715,7:09 ,pog in the chat
716,7:09 ,i was here
717,7:10 ,love from india
718,7:11 ,Where is Mark
719,7:17 ,oooh im here for this appreciated
720,7:17 ,Going to be exp
721,7:18 ,Mars  lets go world
722,7:18 ,Hello from Canada
723,7:19 ,i guess i was here too
724,7:20 ,we part of a history
725,7:21 ,beware of the martian
726,7:21 ,COUNTDOWNONMARS
727,7:21 ,greetings from Curanilahue Chile
728,7:22 ,So Excited
729,7:22 ,cool
730,7:23 ,greetings from Peru
731,7:23 ,Okay then
732,7:23 ,hi from India
733,7:23 ,The earth is flat
734,7:23 ,World History Don t forget I was here boys
735,7:23 ,SPACE POG
736,7:27 ,NDL was here
737,7:28 ,watching this during my AP class lol
738,7:28 ,WE GOING TO MARS POG wheres mark rober he should be here
739,7:28 ,hello from Bangladesh
740,7:29 ,how long until the  minutes
741,7:29 ,will be actually be able to see it live with a camera
742,7:29 ,glad to be here
743,7:29 ,no conspiracies in the chat
744,7:30 ,THE EARTH IS FLAT
745,7:31 ,a waves from roma
746,7:32 ,excited to see the mission success love from india
747,7:32 ,where Mark Rober smh
748,7:32 ,COUNTDOWNTOMARS
749,7:33 ,Super exciting
750,7:33 ,My classmate s name is on the rover
751,7:34 ,Pepe the frog
752,7:34 ,THIS IS POG
753,7:34 ,this could be isro but reservation nevermind
754,7:34 ,whooooo
755,7:35 ,Imagine thinking mars is real
756,7:35 ,NASA is great
757,7:36 ,I WAS HERE POG
758,7:38 ,Doge coun
759,7:38 ,HI FROM LOUISANA
760,7:40 ,There s a lot of people herep
761,7:41 ,History in the making
762,7:42 ,this is very pog
763,7:43 ,Hello from Austria
764,7:43 ,bought sweets to celebrate this success
765,7:43 ,THIS IS SOO EPIC
766,7:43 ,WAIT WHEN WILL THE ROVER LAND
767,7:43 ,when is it what time Exactly
768,7:43 ,This is past international borders and differnces
769,7:44 ,can t wait for land GO PERSEVERANCE
770,7:44 ,shoutout to matt and sarah
